id,code
product.product_uom_cm,cm
product.product_uom_day,day
product.product_uom_dozen,dozen
product.product_uom_floz,floz
product.product_uom_foot,foot
product.product_uom_gram,gram
product.product_uom_gal,gal
product.product_uom_hour,hour
product.product_uom_inch,inch
product.product_uom_kgm,kgm
product.product_uom_km,km
product.product_uom_lb,lb
product.product_uom_litre,litre
product.product_uom_meter,meter
product.product_uom_mile,mile
product.product_uom_oz,oz
product.product_uom_qt,qt
product.product_uom_ton,ton
product.product_uom_unit,unit